襢	袒
襤	褴
襪	袜
襯	衬
襲	袭
覇	霸
覈	核
見	见
規	规
覓	觅
覔	觅
視	视
覘	觇
覜	眺
覡	觋
覦	觎
覩	睹
親	亲
覬	觊
覯	觏
覰	觑
覲	觐
覷	觑
覺	觉
覻	觑
覽	览
覿	觌
觀	观
觔	斤
觕	粗
觝	抵
觴	觞
觶	觯
觸	触
訁	讠
訂	订
訃	讣
計	计
訊	讯
訌	讧
討	讨
訏	吁
訐	讦
訓	训
訕	讪
訖	讫
託	托
記	记
訛	讹
訝	讶
訟	讼
訢	欣
訣	诀
訥	讷
訦	谌
訪	访
設	设
許	许
訴	诉
訶	诃
診	诊
註	注
証	证
詁	诂
詆	诋
詎	讵
詐	诈
詒	诒
詔	诏
評	评
詘	诎
詛	诅
詞	词
詠	咏
詡	诩
詢	询
詣	诣
試	试
詧	察
詩	诗
詫	诧
詬	诟
詭	诡
詮	诠
詰	诘
話	话
該	该
詳	详
詵	诜
詶	酬
詼	诙
詿	诖
誄	诔
誅	诛
誆	诓
誇	夸
誌	志
認	认
誑	诳
誒	诶
誕	诞
誖	悖
誘	诱
誚	诮
語	语
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誨	诲
說	说
説	说
誰	谁
課	课
誶	谇
誹	诽
誼	谊
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諏	诹
諐	愆
諑	诼
諒	谅
論	论
諗	谂
諛	谀
諜	谍
諞	谝
諠	喧
諡	谥
諢	诨
諤	谔
諦	谛
諧	谐
諫	谏
諭	谕
諮	谘
諱	讳
諳	谙
諶	谌
諷	讽
諸	诸
諺	谚
諼	谖
諾	诺
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
謊	谎
謌	歌
謎	谜
謐	谧
謔	谑
謖	谡
謗	谤
謙	谦
謚	谥
講	讲
謝	谢
謠	谣
謨	谟
謫	谪
謬	谬
謳	讴
謹	谨
謼	呼
謾	谩
譁	哗
譆	嘻
證	证
譌	讹
譎	谲
譏	讥
譔	撰
譖	谮
識	识
譙	谯
譚	谭
譜	谱
譟	噪
譫	谵
譭	毁
譯	译
議	议
譴	谴
護	护
譽	誉
譾	谫
讀	读
讁	谪
讅	审
變	变
讌	燕
讎	雠
讐	雠
讒	谗
讓	让
讕	谰
讖	谶
讚	赞
讛	呓
讜	谠
讞	谳
谿	溪
豈	岂
豎	竖
豐	丰
豔	艳
豬	猪
貍	狸
貓	猫
貛	獾
貝	贝
貞	贞
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
責	责
貯	贮
貰	贳
貲	赀
貳	贰
貴	贵
貶	贬
買	买
貸	贷
貺	贶
費	费
貼	贴
貽	贻
貿	贸
賀	贺
賁	贲
賂	赂
賃	赁
賄	贿
賅	赅
資	资
賈	贾
賉	恤
賊	贼
賍	赃
賑	赈
賒	赊
賓	宾
賔	宾
賕	赇
賚	赉
賛	赞
賜	赐
賞	赏
賠	赔
賡	赓
賢	贤
賣	卖
賤	贱
賦	赋
賧	赕
質	质
賫	赍
賬	账
賭	赌
賮	赆
賴	赖
賸	剩
賺	赚
賻	赙
購	购
賽	赛
賾	赜
贄	贽
贅	赘
贈	赠
贊	赞
贋	赝
贍	赡
贏	赢
贐	赆
贓	赃
贖	赎
贗	赝
贛	赣
贜	赃
趂	趁
趕	赶
趙	赵
趨	趋
趲	趱
跡	迹
跥	跺
跴	踩
跼	局
踐	践
踡	蜷
踫	碰
踰	逾
踴	踊
蹌	跄
蹏	蹄
蹕	跸
蹚	趟
蹟	迹
蹠	跖
蹣	蹒
蹤	踪
蹧	糟
蹵	蹴
蹺	跷
躉	趸
躊	踌
躋	跻
躍	跃
躑	踯
躒	跞
躓	踬
躕	蹰
躚	跹
躡	蹑
躥	蹿
躦	躜
躪	躏
躰	体
躳	躬
躶	裸
軀	躯
車	车
軋	轧
軌	轨
軍	军
軒	轩
軔	轫
軛	轭
軟	软
軤	轷
軫	轸
軲	轱
軸	轴
軹	轵
軺	轺
軻	轲
軼	轶
軾	轼
較	较
輅	辂
輇	辁
載	载
輊	轾
輒	辄
輓	挽
輔	辅
輕	轻
輛	辆
輜	辎
輝	辉
輞	辋
輟	辍
輥	辊
輦	辇
輩	辈
輪	轮
輭	软
輯	辑
輳	辏
輸	输
輻	辐
輾	辗
輿	舆
轂	毂
轄	辖
轅	辕
轆	辘
轉	转
轍	辙
轎	轿
轔	辚
轟	轰
轡	辔
轢	轹
轤	轳
辠	罪
辢	辣
辤	辞
辦	办
辭	辞
辮	辫
辯	辩
農	农
辳	农
迆	迤
迴	回
迺	乃
迻	移
逈	迥
逕	径
這	这
連	连
逩	奔
週	周
進	进
遊	游
運	运
過	过
達	达
違	违
遙	遥
遜	逊
遝	沓
遞	递
遠	远
遡	溯
適	适
遯	遁
遲	迟
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邇	迩
邊	边
邏	逻
邐	逦
邨	村
郃	合
郟	郏
